,CustomerId,Gender,Age,AgeGroup,Married,Dependents,noDependents,Referrals,noReferrals,PaperlessBilling,PaymentMethod,OnlineSecurity,OnlineBackup,TechSupport,UnlimitedData,AvgDownloadGB,StartDate,EndDate,EndDateTmp,ChurnLabel,ChurnScore,ChurnCategory,ChurnReason,CustomerLTV,SatisScore,TotalExtraDataCharge,AvgRoamCharge,TotalRoamCharge,Tenure_month,Sum_charge,Monthly_charge,ReasonCategory
0,C-10001,여성,37,30대,Yes,No,0,Yes,2,Yes,신용카드,No,Yes,Yes,Yes,16,2020-04-01,,2022-01-01,No,65,,,2205,3,0,47910,431100,21.0,1755400.0,83590.0,
1,C-10002,남성,46,40대,No,No,0,No,0,No,신용카드,No,No,No,No,10,2020-04-01,,2022-01-01,No,66,,,5414,5,11300,12090,108710,21.0,1447500.0,68929.0,
2,C-10003,남성,50,50대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,30,2020-10-01,2021-02-01,2021-02-01,Yes,71,Company,Price too high,4479,1,0,38080,152100,5.0,490900.0,98180.0,Price
3,C-10004,남성,78,70대,Yes,No,0,Yes,1,Yes,계좌이체,No,Yes,No,Yes,4,2020-06-01,2021-07-01,2021-07-01,Yes,99,Cosumer,Product dissatisfaction,3714,1,0,31410,408720,14.0,1578400.0,112743.0,PS
4,C-10005,여성,75,70대,Yes,No,0,Yes,3,Yes,신용카드,No,No,Yes,Yes,11,2021-07-01,2021-10-01,2021-10-01,Yes,68,Cosumer,Network reliability,3464,1,0,8360,24970,4.0,378000.0,94500.0,PS
5,C-10006,여성,23,20대,No,Yes,1,No,0,Yes,신용카드,No,No,Yes,Yes,73,2020-04-01,,2022-01-01,No,55,,,5108,3,0,18980,170520,21.0,1718900.0,81852.0,
6,C-10007,여성,67,60대,Yes,No,0,Yes,1,Yes,계좌이체,Yes,Yes,Yes,Yes,14,2015-02-01,,2022-01-01,No,26,,,5011,3,0,11300,799140,83.0,10744500.0,129452.0,
7,C-10008,남성,52,50대,Yes,No,0,Yes,8,Yes,신용카드,Yes,No,Yes,No,7,2015-10-01,,2022-01-01,No,49,,,4604,4,22600,14690,922650,75.0,7455600.0,99408.0,
8,C-10009,여성,68,60대,No,No,0,No,0,Yes,계좌이체,Yes,No,No,Yes,21,2020-06-01,,2022-01-01,No,34,,,5525,3,0,11870,83280,19.0,1098500.0,57816.0,
9,C-10010,여성,43,40대,Yes,Yes,1,Yes,3,Yes,신용카드,Yes,Yes,Yes,Yes,14,2015-08-01,,2022-01-01,No,25,,,5509,3,0,32210,2090390,77.0,8186200.0,106314.0,
10,C-10011,남성,47,40대,No,No,0,No,0,No,신용카드,Yes,No,Yes,Yes,10,2016-07-01,,2022-01-01,No,54,,,5435,4,0,0,0,66.0,3498400.0,53006.0,
11,C-10012,여성,25,20대,Yes,Yes,2,Yes,2,Yes,신용카드,Yes,Yes,Yes,Yes,59,2015-01-01,,2022-01-01,No,52,,,6252,3,0,18080,1302550,84.0,11481700.0,136687.0,
12,C-10013,여성,58,50대,Yes,No,0,No,0,Yes,계좌이체,No,No,No,Yes,10,2020-08-01,,2022-01-01,No,57,,,5536,3,0,21130,105430,17.0,1344900.0,79112.0,
13,C-10014,여성,32,30대,No,No,0,No,0,Yes,계좌이체,Yes,Yes,No,Yes,16,2015-01-01,,2022-01-01,No,53,,,5513,3,0,2600,183060,84.0,9985300.0,118873.0,
14,C-10015,여성,39,30대,No,No,0,No,0,No,계좌이체,Yes,Yes,Yes,Yes,19,2016-05-01,,2022-01-01,No,37,,,5795,3,0,0,0,68.0,3594900.0,52866.0,
15,C-10016,여성,58,50대,Yes,Yes,2,Yes,9,Yes,신용카드,No,Yes,No,Yes,12,2015-02-01,,2022-01-01,No,26,,,4865,5,0,30850,2187120,83.0,9353300.0,112690.0,
16,C-10017,여성,52,50대,Yes,Yes,1,No,0,No,신용카드,Yes,No,Yes,Yes,20,2018-03-01,,2022-01-01,No,37,,,3607,4,0,0,0,46.0,3305700.0,71863.0,
17,C-10018,여성,72,70대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,22,2020-12-01,,2022-01-01,No,50,,,4432,4,0,8810,8810,13.0,1049900.0,80762.0,
18,C-10019,남성,79,70대,No,No,0,No,0,No,신용카드,Yes,No,No,Yes,17,2018-03-01,2021-12-01,2021-12-01,Yes,92,Cosumer,Limited range of services,2654,1,0,12090,542630,46.0,3363200.0,73113.0,PS
19,C-10020,남성,67,60대,No,No,0,No,0,Yes,계좌이체,No,No,No,Yes,9,2021-07-01,2021-08-01,2021-08-01,Yes,85,Competitor,Competitor made better offer,5437,3,0,0,0,2.0,55600.0,27800.0,PS
20,C-10021,여성,79,70대,Yes,No,0,No,0,No,계좌이체,No,No,No,No,0,2016-11-01,,2022-01-01,No,61,,,4015,3,0,35480,1775800,62.0,1803400.0,29087.0,
21,C-10022,여성,26,20대,Yes,No,0,Yes,1,No,계좌이체,No,Yes,No,Yes,52,2020-08-01,2021-09-01,2021-09-01,Yes,75,Cosumer,Don't know,2973,1,0,49270,639920,14.0,1579900.0,112850.0,Other
22,C-10023,여성,30,30대,Yes,Yes,2,Yes,1,Yes,계좌이체,No,No,No,Yes,30,2019-02-01,,2022-01-01,No,78,,,3585,4,0,39440,907280,35.0,3393700.0,96963.0,
23,C-10024,여성,22,20대,No,No,0,No,0,No,신용카드,No,No,No,No,0,2020-10-01,,2022-01-01,No,59,,,5634,4,0,3500,10620,15.0,341400.0,22760.0,
24,C-10025,여성,34,30대,Yes,No,0,No,0,No,신용카드,No,No,No,No,0,2021-04-01,2021-08-01,2021-08-01,Yes,81,Company,Competitor had better devices,4133,1,0,14010,56160,5.0,118700.0,23740.0,PS
25,C-10027,여성,37,30대,Yes,Yes,3,Yes,10,Yes,계좌이체,No,Yes,Yes,No,57,2016-06-01,,2022-01-01,No,65,,,5892,3,22600,39550,2177740,67.0,8147600.0,121606.0,
26,C-10028,남성,42,40대,Yes,Yes,3,Yes,3,No,신용카드,No,No,No,No,0,2016-07-01,,2022-01-01,No,60,,,6393,4,0,22260,1202090,66.0,1609900.0,24392.0,
27,C-10029,남성,64,60대,No,No,0,No,0,Yes,계좌이체,No,No,No,No,0,2018-11-01,,2022-01-01,No,26,,,3722,4,0,42600,1107630,38.0,883400.0,23247.0,
28,C-10030,여성,47,40대,Yes,Yes,3,Yes,5,No,계좌이체,No,No,No,No,0,2015-04-01,,2022-01-01,No,76,,,4131,5,0,43390,2993260,81.0,1892600.0,23365.0,
29,C-10031,남성,23,20대,No,No,0,Yes,1,No,신용카드,No,No,No,Yes,51,2017-12-01,,2022-01-01,No,55,,,5263,5,0,48590,1798280,49.0,5286800.0,107894.0,
30,C-10032,여성,48,40대,Yes,No,0,Yes,5,No,계좌이체,No,No,No,No,0,2016-12-01,,2022-01-01,No,20,,,6061,3,0,56050,2745220,61.0,1474600.0,24174.0,
31,C-10033,남성,28,20대,Yes,No,0,Yes,9,No,계좌이체,Yes,Yes,Yes,Yes,41,2015-07-01,,2022-01-01,No,42,,,5845,3,0,49490,3264340,78.0,10587100.0,135732.0,
32,C-10034,여성,28,20대,No,No,0,No,0,No,계좌이체,No,No,No,No,0,2015-06-01,,2022-01-01,No,72,,,5462,5,0,26100,1750370,79.0,1917400.0,24271.0,
33,C-10035,남성,33,30대,Yes,Yes,1,Yes,4,Yes,신용카드,Yes,No,Yes,Yes,22,2019-05-01,,2022-01-01,No,29,,,3899,3,0,0,0,32.0,1480300.0,46259.0,
34,C-10036,여성,31,30대,No,Yes,3,No,0,Yes,계좌이체,No,No,No,No,0,2017-06-01,,2022-01-01,No,59,,,4797,4,0,34580,1488780,55.0,1608700.0,29249.0,
35,C-10037,여성,37,30대,Yes,No,0,Yes,2,Yes,계좌이체,Yes,No,No,Yes,9,2016-06-01,,2022-01-01,No,42,,,5875,3,0,5760,315720,67.0,7102400.0,106006.0,
36,C-10038,여성,60,60대,Yes,No,0,Yes,4,Yes,계좌이체,Yes,Yes,No,Yes,14,2016-02-01,,2022-01-01,No,26,,,5238,3,0,18530,1092710,71.0,8014000.0,112873.0,
37,C-10039,여성,48,40대,Yes,Yes,3,Yes,3,No,계좌이체,No,No,No,No,0,2020-01-01,,2022-01-01,No,57,,,5190,5,0,21810,261480,24.0,572600.0,23858.0,
